2025-08-11 07:36:25 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:51:40 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:54:06 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 08:03:52 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
