2025-08-11 08:25:40 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 08:25:40 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 08:25:48 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:48 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:48 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:48 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:49 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:49 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:25:54 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:25:54 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:04 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:04 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:04 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:04 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:05 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:05 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:05 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:05 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:10 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:10 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:11 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:11 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:11 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:11 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:12 - price_service - WARNING - No price record found for 1 in USD, using default values
