2025-08-05 11:26:05 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:26:05 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:26:08 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:26:08 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:26:08 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:26:08 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:26:08 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 11:26:08 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:34:39 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 11:34:39 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 11:34:39 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 11:34:39 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 11:34:39 - price_service - WARNING - No price record found for 7 in USD, using default values
