2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:11:02 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-07-25 20:13:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:13:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:13:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-25 20:13:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
